ALink,SName,SLink,Lyric,language
/ivete-sangalo/,Muito Obrigado Axé,/ivete-sangalo/muito-obrigado-axe.html,"Odô, axé odô, axé odô, axé odô
Odô, axé odô, axé odô, axé odô

Isso é pra te levar no ilê
Pra te lembrar do badauê
Pra te lembrar de lá

Isso é pra te levar no meu terreiro
Pra te levar no candomblé
Pra te levar no altar

Isso é pra te levar na fé
Deus é brasileiro
Muito obrigado axé

Ilumina o mirin orumilá
Na estrada que vem a cota
É um malê é um maleme
Quem tem santo é quem entende

Quanto mais pra quem tem ogum
Missão e paz
Quanto mais pra quem tem ideais e
Os orixás

Joga as armas prá lá
Joga, joga as armas pra lá
Joga as armas pra lá
Faz a festa

Joga as armas prá lá
Joga, joga as armas pra lá
Joga as armas pra lá
Faz um samba

Joga as armas prá lá
Joga, joga as armas pra lá
Joga as armas pra lá
Traz a orquestra

Joga as armas prá lá
Joga, joga as armas pra lá
Joga as armas pra lá
Faz a festa",pt
/ivete-sangalo/,Não Precisa Mudar,/ivete-sangalo/nao-precisa-mudar.html,"Não precisa mudar
Vou me adaptar ao seu jeito
Seus costumes, seus defeitos
Seus ciúmes, suas caras
Pra que mudá-las?

Não precisa mudar
Vou saber fazer o seu jogo
Saber tudo do seu gosto
Sem deixar nenhuma mágoa
Sem cobrar nada

Se eu sei que no final fica tudo bem
A gente se ajeita numa cama pequena
Te faço um poema e te cubro de amor

Então você adormece
Meu coração enobrece
E a gente sempre se esquece
De tudo o que passou (2x)",pt
/ivete-sangalo/,Nada Vai Nos Separar,/ivete-sangalo/nada-vai-nos-separar.html,"Toda vez que eu pintar em seu pensamento
Se lembre que eu te amo
mais do que qualquer coisa nesse mundo
E nada vai nos separar
E a lembrança do teu beijo é a razão do meu sorriso
Mesmo que ele vá embora toda vez que eu desligo
E a distância se transforma em combustível da saudade

Mais uma noite que eu terei trabalho pra dormir

Se você vier eu te faço um café
Fico acordada a noite inteira
Me apaixonando de novo por você
E se você vier, eu juro se você vier
Num demorado beijo eu te conquisto outra vez",pt
/ivete-sangalo/,Tempo de Alegria,/ivete-sangalo/tempo-de-alegria.html,"É amor
É tanto amor que eu sinto esse momento
É tão bonito esse mar de mãos
Ver todo mundo assim cantando junto
É maravilhoso

É amor
Felicidade transbordando em mim
Tem tanto tempo nossa união
Chegou o dia que o meu coração
Tá daquele jeito

Dá pra ver, vai ferver
Bateu a sintonia
É tempo de alegria
Tão bom dividir com você

ÔÔ, ôô, ôô
Alegria, alegria",pt
/ivete-sangalo/,Agora Já Sei,/ivete-sangalo/agora-ja-sei.html,"Duvidava, não entendia
Quando alguém me falou
Suspirava de agonia
Pra sentir esse amor

Tempo mestre de todas
Horas e dias
Passou sem ver
Te amar de verdade
Sentir saudade
Mas só de você, Só de você

Agora eu já sei
Quando falta a respiração
É a prova que um coração
Já não sabe mais
Viver sem você

Agora eu já sei
Que me falta sempre a razão
Traduzir melhor a emoção
Do que trago aqui
Bem dentro de mim

Eu que duvidava e não sabia
Desse verdadeiro amor
Chegou
Verdadeiro amor chegou
Verdadeiro amor",pt
/ivete-sangalo/,Deixo,/ivete-sangalo/deixo.html,"Eu me lembro sempre onde quer que eu vá
Só um pensamento em qualquer lugar
Só penso em você
Em querer te encontrar
Só penso em você
Em querer te encontrar

Lembro daquele beijo que você me deu
E que até hoje está gravado em mim
E quando a noite vem
Fico louca pra dormir
Só pra ter você nos meus sonhos
Me falando coisas de amor

Sinto que me perco no tempo
Debaixo do meu cobertor

Eu faria tudo pra não te perder
Assim
Mas o dia vem e deixo você ir

Deixo você ir
Deixo você ir
Deixo você ir
Deixo você ir",pt
/ivete-sangalo/,Não Me Conte Seus Problemas,/ivete-sangalo/nao-me-conte-seus-problemas.html,"Ivete Sangalooooo!

Então não me conte seus problemas
Que hoje eu quero paz,
Eu quero amor
Então não me conte os seus problemas
Nada de tristeza nem de dor

Esse sol tão lindo gostoso de se ver
Essa vida boa, correndo pelas mãos
Esse povo todo cantando para valer
Solte essa cabeça, acelere o coração
Hoje eu to querendo falar de coisa boa
Hoje eu to querendo gostar mais de você
O povo balançando, dando risada atoa
Hoje só não dança quem gosta de sofrer!

Então não me conte seus problemas
Que hoje eu quero paz, eu quero amor
Então não me conte seus problemas
Nada de tristeza nem de dor
Então não me conte seus problemas
Não quero saber!
Hoje eu quero paz, eu quero amor
Então não me conte seus problemas
Nada de tristeza nem de dor!

Veja bem tá tudo certo
Nós dois na avenida dançando de coração aberto
Veja bem Deus não perdoa
Vamos pensar positivo que essa vida é muito boa

Então não me conte seus problemas
que hoje eu quero paz, eu quero amor
Então não me conte seus problemas
Nada de tristeza nem de dor!

Veja bem tá tudo certo
Nós dois na avenida dançando de coração aberto
Veja bem Deus não perdoa
Vamos pensar positivo que essa vida é muito boa!

Então não me conte seus problemas
que hoje eu quero paz, eu quero amor
Então não me conte seus problemas
Nada de tristeza nem de dor!",pt
/ivete-sangalo/,País Tropical / Arerê / Taj Mahal,/ivete-sangalo/pais-tropical-arere-taj-mahal.html,"Moro...
Num país tropical,
Abençoado por Deus
E bonito por natureza (Mas que beleza!)

Em fevereiro (Em fevereiro)
Tem carnaval (Tem carnaval)
Eu tenho um fusca e um violão,
Sou Flamengo e tenho uma nêga chamada Tereza

""Sambaby"", ""Sambaby""
Eu posso não ser um Band Leader (Pois é)
Mas assim mesmo, lá em casa todos meus amigos, meus camaradinhas me respeitam (Pois é)
Essa é a razão da simpatia, do poder do algo mais e da alegria...

Sou flá,flá ela eh me me


Tudo o que eu quero nessa vida
É amar você
Amar você
O seu amor é como uma chama acesa
que me queima de prazer
De prazer (2x)

Eu já falei com Deus que não vou te deixar
Vou te levar pra onde
Pra qualquer lugar
Já fiz de tudo pra não te perder

Arerê,
Um lobby, um hobby, um love com você
Arerê,
um lobby, um hobby, um love com você

Cai, cai, cai, cai, cai pra cá
Hey, hey, hey
Tudo, tudo,tudo, vai rolar

Arerê,
Um lobby, um hobby, um love com você
Arerê,
um lobby, um hobby, um love com você",pt
/ivete-sangalo/,Na Bahia,/ivete-sangalo/na-bahia.html,"Na Bahia ia ia ia
Na Bahia ia ia ia
Na Bahia...
Todo mundo na Bahia (2x)

Falar o quê?
Quando pisa nessa terra
Alegria toma conta de você

Falar de quem
Dessa música olodum, da timbalada
Ilê ayê e vai quem vem

Pra começar
Terra de todos os santos
Esperando por você que vai chegar

Se sinta bem
A Bahia também quer saber o que é que você tem

Na Bahia, ia, ia
Na Bahia, ia, ia
Na Bahia...
Todo mundo na Bahia (2x)

Se seu coração está pedindo pra ficar
Fique, cante, dance até cansar
Caia na folia e viva a música
Deixe o corpo te levar na boa",pt
/ivete-sangalo/,Completo,/ivete-sangalo/completo.html,"É tão bom ter alguém por perto
Pra você se sentir completo
Ter a mão que te leva pro futuro
Vislumbrando horizontes seguros...

É tão bom viajarmos juntos
E viver aproveitando tudo
Amanhã vai ser melhor que hoje
Novos sonhos ao amanhecer...

Imagino milhões de sorrisos
Cada um com seu jeito de ser
Mas ligados no mesmo destino
Um amor feito eu e você...

Refrão:
O céu e o mar
A lua e a estrela
O branco e o preto
Tudo se completa de algum jeito.

Homem e mulher
A faca e o queijo
O incerto e o perfeito
Tudo se completa de algum jeito.

O céu e o mar
A lua e a estrela
O branco e o preto
Tudo se completa de algum jeito.

Homem e mulher,
A faca e o queijo
O incerto e o perfeito
Tudo se completa de algum jeito.",pt
/ivete-sangalo/,O Mundo Vai,/ivete-sangalo/o-mundo-vai.html,"Traga todo mundo
Chama o povo de casa
As amigas mais louca
Chama a rapaziada
Todo mundo na rua
De cabeça virada
De roupa colorida
Com a alma lavada

Bota lá no grupo que o couro tá comendo
Que quando ela passa todo mundo vai atrás
Todo mundo mundo vai
Todo mundo mundo vai
Todo mundo mundo vai

Desce uma dose de beijo
Deixa minha boca molhada
O amor tá fazendo pizeiro
Ferve no meu fevereiro
Dona do meu coração
Essa é pra trincar o concreto do chão

Desce uma dose de beijo
Deixa minha boca molhada
O amor tá fazendo pizeiro
Ferve no meu fevereiro
Dona do meu coração
Essa é pra trincar o concreto do chão

Aê, aê, aê, aê
Venha ver, venha ver
Aê, aê

Aê, aê, aê, aê
Venha ver, venha ver
Aê, aê",pt
/ivete-sangalo/,Salve Baby (part. Iza),/ivete-sangalo/salve-baby-part-iza.html,"Salve, baby!
Tô fingindo naturalidade, baby
Mas eu morro e vivo de saudade, baby
Baby, você mora em mim

Salve, baby!
Tô fingindo naturalidade, baby
Mas eu morro e vivo de saudade, baby
Baby, você mora em mim

Não tá vendo, baby
Que a ideia tem sinceridade, baby
Tá rolando choro em toda frase, baby
Eu não quero mais ninguém

Baby, esse nosso love é brasa acesa
Porque a nossa força vem da natureza
Vamos fugir pra onde você quiser

Eu te amo, baby, bote fé!

Baby, pra você eu só direi sim
Quero ter você pra sempre
Volta pra cuidar da gente
Que o nosso amor é diferente

Baby, pra você eu só direi sim
Quero ter você pra sempre
Volta pra cuidar da gente
Que o nosso amor é diferente",pt
/ivete-sangalo/,Pererê,/ivete-sangalo/perere.html,"Vai pêrêrê, Vai pêrêrê, Vai pêrêrê pêrêrê pêrêrê
Vai pêrêrê, Vai pêrêrê, Vai pêrêrê pêrêrê pêrêrê
DERRUBA!...

Pê pê rê rê rê rê pê pê
Pê pê pê rê pê rê rê rê
Pê pê pê pê pê rê pê pê
Pê pê rê pê pê rê rê pê

Perere saiu na capa do jornal
fumando cachimbo em pleno carnaval
Perere não gosta de sorvete quente
Perere só pula carnaval com a gente

Pê pê rê rê rê rê pê pê
Pê pê pê rê pê rê rê rê
Pê pê pê pê pê rê pê pê
Pê pê rê pê pê rê rê pê

Perere não gosta de fumar cigarro
Perere não bebe quando sai de carro
Perere não faz amor sem camisinha
Perere não come nada sem farinha

Pê pê rê rê rê rê pê pê
Pê pê pê rê pê rê rê rê
Pê pê pê pê pê rê pê pê
Pê pê rê pê pê rê rê pê

Quando vira índio
Ele fica nú
Na salada dele
tem tomate crú
Perere é o mais querido do brasil
Perere só quer pular atras do trio

Vai pêrêrê, Vai pêrêrê, Vai pêrêrê pêrêrê pêrêrê
Vai pêrêrê, Vai pêrêrê, Vai pêrêrê pêrêrê pêrêrê

Perere saiu na capa do jornal
fumando cachimbo em pleno carnaval
Perere não gosta de sorvete quente
Perere só pula carnaval com a gente

Pê pê rê rê rê rê pê pê
Pê pê pê rê pê rê rê rê
Pê pê pê pê pê rê pê pê
Pê pê rê pê pê rê rê pê

Perere não gosta de fumar cigarro
Perere não bebe quando sai de carro
Perere não faz amor sem camisinha


Pê pê rê rê rê rê pê pê
Pê pê pê rê pê rê rê rê
Pê pê pê pê pê rê pê pê
Pê pê rê pê pê rê rê pê

(Mas)Quando vira índio
Ele fica nú
Na salada dele
tem tomate crú
Perere é o mais querido do brasil
Perere só quer pular atras do trio

Vai pêrêrê, Vai pêrêrê, Vai pêrêrê pêrêrê pêrêrê
Vai pêrêrê, Vai pêrêrê, Vai pêrêrê pêrêrê pêrêrê",pt
/ivete-sangalo/,Abalou,/ivete-sangalo/abalou.html,"Você comigo é par
É mais do que sonhar
Amor tão raro de se viver
E eu quero aproveitar esse momento pra te dizer

Você comigo é bis
Me deixa tão afim
Meu pensamento me leva além
Bastou você entrar
Na vida pra ficar tudo bem

Não quero desgrudar de você
É bom parar o tempo
Tem tudo pra dar certo nós dois
Já sei que não tem jeito
Tá feito
Você me ganhou

Refrão 2x
Abalou, abalou
Sacudiu, balançou
Coração é só felicidade
Abalou, abalou
Isso sim
É amor de verdade

Você comigo é bis
Me deixa tão afim
Meu pensamento me leva além
Bastou você entrar
Na vida pra ficar tudo bem

Não quero desgrudar de você
É bom parar o tempo
Tem tudo pra dar certo nós dois
Já sei que não tem jeito
Tá feito
Você me ganhou

Abalou, abalou
Sacudiu, balançou
Coração é só felicidade
Abalou, abalou
Isso sim
É amor de verdade

Não quero desgrudar de você
É bom parar o tempo
Tem tudo pra dar certo nós dois
Já sei que não tem jeito
Feito você...

Abalou, abalou
Sacudiu, balançou
Coração é só felicidade
Abalou, abalou
Isso sim
É amor de verdade",pt
/ivete-sangalo/,Levada Louca,/ivete-sangalo/levada-louca.html,"Chegue, chegue, chegue
Chegue, chegue, chegue
Chegue, chegue, chegue

Tem festa no candeal
Batuque no canjerê
Eu vou levar meu timbal
Tocar samba pra você

Tem festa no candeal
Batuque no canjerê
Eu vou lavar meu timbal
Tocar samba pra você

Não fico quieto quando vejo num boteco
Tamborim com reco-reco, xequerê a chacoalhar

Bate, bate, bate
Esquenta a mão nesse couro
Cante, cante, cante
Acorda que o dia nasceu
Bate, bate, bate
Esquenta a mão nesse couro

Cante, cante, cante
Cante, cante, cante
Cante, cante, cante

Acorda que o dia nasceu

Levada louca, levada louca,
Levada louca para dançar
Levada louca, levada louca,
Levada louca para dançar",pt
/ivete-sangalo/,A Casa Amarela,/ivete-sangalo/a-casa-amarela.html,"Papai pintou
A casa de amarelo
A frente toda
Parecia um castelo
Lá no jardim
anão e cogumelo
Mamãe achou legal
E até discreto

Ah, foi um sonho
Hum, que sonhei
Ah, foi um sonho
Me tratavam
Como um rei

Lá do meu quarto
Dá pra ver
Os girassóis
Lá da varanda
Grandes portas
De cristais

Mamãe vestida
De rainha
E de condão
Papai valente
Enfrentando
um dragão",pt
/ivete-sangalo/,A Galera,/ivete-sangalo/a-galera.html,"Fevereiro
Alegria
Muita festa
Todo dia
Quem pode, pode
Quem não pode se sacode
Quando a banda passa
E o som da banda empurrando todo mundo
Num swing massa
E a galera, ô, ô
A galera tá no clima
Mão embaixo
Mão em cima
Quem pode, pode
Quem não pode se sacode
Quando a banda passa
E o som da banda empurrando todo mundo
Num swing massa
E a galera, ô, ô
Desce, desce
Bem juntinho
Sobe, sobe
Bonitinho
E essa dança todo mundo tá jogando no meio da praça
O som da banda empurrando todo mundo
Num swing massa
E a galera, ô, ô",pt
/ivete-sangalo/,A Girafa,/ivete-sangalo/a-girafa.html,"Vambora bicharada
Vou contar uma coisa pra vocês
Daqui de cima tudo é muito mais bonito
Tô bem na fita, hein!
A mais elegante a poderosa eu a girafa

Olho por cima do muro tenho muito orgulho porque sou
girafa
Dos bichos sou a mais comprida pintas na barriga
porque sou girafa
Meu pescoço interessante é o mais elegante porque sou
girafa
Quem quiser me acompanhar vai ter que suar porque sou
girafa

Gira gira girafa fa fa fa
Gira gira girafa fa fa fa
Gira gira girafa fa fa gi girafa

Atenção eu e as minhas pintas na barriga
Esse pescoço elegante cabe muitos colares, de
brilhante.
O macaco ta louco por mim
O leão quer casar comigo, mas eu não tô nem aí, pra
ninguém.
Autógrafos depois porque agora eu vou cantar, com
licença.",pt
/ivete-sangalo/,A Novidade,/ivete-sangalo/a-novidade.html,"Uh! Heiê! Oh!
Ô Ô Ô Ô Ô Ô Ô!
Ah! AAh!
Ô Ô Ô Ô Ô Ô Ô!
Ah! AAh!
Ô Ô Ô Ô Ô Ô Ô!
Ah! AAh! Heiê! Heiê!
Ô Ô Ô Ô Ô Ô Ô!
Ah! AAh!

A novidade veio dar à praia
Na qualidade rara de sereia
Metade o busto
D'uma deusa Maia
Metade um grande
Rabo de baleia

A novidade era o máximo
Do paradoxo
Estendido na areia
Alguns a desejar
Seus beijos de deusa
Outros a desejar
Seu rabo prá ceia

Oh! Mundo tão desigual
Tudo é tão desigual
Ô Ô Ô Ô Ô Ô Ô!
Oh! De um lado esse carnaval
De outro a fome total
Ô Ô Ô Ô Ô Ô Ô Ô!

Ô Ô Ô Ô Ô Ô Ô!
Ah! AAh!
Ô Ô Ô Ô Ô Ô Ô!
Ah! AAh!

E a novidade que seria um sonho
O milagre risonho da sereia
Virava um pesadelo tão medonho
Ali naquela praia
Ali na areia

A novidade era a guerra
Entre o feliz poeta
E o esfomeado
Estraçalhando
Uma sereia bonita
Despedaçando o sonho
Prá cada lado

Oh! Mundo tão desigual
Tudo é tão desigual
Ô Ô Ô Ô Ô Ô Ô!
Oh! De um lado esse carnaval
De outro a fome total
Ô Ô Ô Ô Ô Ô Ô!

Ô Ô Ô Ô Ô Ô Ô!
Ah! AAh!
Ô Ô Ô Ô Ô Ô Ô!
Ah! AAh! Ah! AAh!
Ah! AAh! Ah! AAh!
Ah! AAh! Ah! AAh!",pt
